t,alt_msl_m,ias_kt,vs_fpm,pitch_deg,roll_deg,hdg_deg,throttle
8.0,909.232,64.264,-704.13,1.777,-0.668,269.831,0.446
8.2,908.521,64.59,-724.357,1.826,-0.555,269.627,0.431
8.4,907.81,64.957,-683.718,1.867,1.165,269.703,0.451
8.6,907.098,64.433,-693.392,1.988,0.649,270.501,0.443
8.8,906.387,64.941,-688.867,1.914,-0.955,269.943,0.456
9.0,905.676,65.057,-708.309,1.929,0.604,269.765,0.453
9.2,904.965,65.021,-695.074,1.815,-0.001,269.989,0.44
9.4,904.254,64.696,-693.642,2.189,0.018,269.985,0.417
9.6,903.542,65.356,-655.634,2.169,0.62,270.302,0.429
9.8,902.831,65.535,-717.099,2.19,0.618,270.216,0.443
10.0,902.12,65.193,-700.262,1.983,1.021,270.113,0.464
10.2,901.409,64.509,-690.904,2.09,0.485,270.145,0.443
10.4,900.698,65.439,-743.12,1.817,0.329,269.758,0.449
10.6,899.986,64.699,-740.074,1.797,-0.099,269.622,0.443
10.8,899.275,65.527,-645.855,1.89,1.499,270.122,0.416
11.0,898.564,64.357,-744.178,2.116,-0.776,270.158,0.449
11.2,897.853,65.549,-685.627,1.97,1.915,270.052,0.44
11.4,897.142,64.988,-721.206,1.771,2.186,270.087,0.427
11.6,896.43,64.251,-719.079,2.018,2.173,270.19,0.449
11.8,895.719,64.812,-749.563,2.084,-0.133,269.658,0.441
12.0,895.008,65.032,-722.518,2.032,2.11,269.899,0.471
12.2,894.297,65.164,-680.391,1.866,1.154,269.741,0.419
12.4,893.586,64.411,-734.719,2.012,1.079,269.443,0.434
12.6,892.874,64.336,-685.114,1.915,3.301,270.16,0.442
12.8,892.163,65.12,-692.168,1.934,0.206,269.932,0.437
13.0,891.452,64.72,-649.542,1.982,0.581,270.123,0.448
13.2,890.741,65.141,-711.863,2.15,-1.249,270.19,0.45
13.4,890.03,65.456,-668.415,2.365,-2.213,269.729,0.446
13.6,889.318,64.011,-677.778,2.311,0.299,270.453,0.441
13.8,888.607,65.153,-707.167,2.125,0.44,270.092,0.434
14.0,887.896,65.735,-741.574,1.92,0.716,270.303,0.442
14.2,887.185,64.821,-662.264,1.938,0.315,270.509,0.449
14.4,886.474,64.514,-734.11,1.947,-1.981,269.858,0.441
14.6,885.762,65.451,-711.835,2.23,0.386,269.816,0.419
14.8,885.051,65.152,-677.921,1.447,1.134,270.054,0.457
15.0,884.34,65.538,-672.101,2.052,1.584,270.333,0.435
15.2,883.629,64.793,-721.136,1.602,-0.939,270.343,0.448
15.4,882.918,64.111,-700.8,1.999,-0.883,269.409,0.435
15.6,882.206,64.934,-706.464,2.265,-0.686,270.431,0.45
15.8,881.495,64.733,-670.461,1.818,-0.632,269.867,0.436
16.0,880.784,65.465,-637.384,1.543,-1.614,270.147,0.454
16.2,880.073,65.116,-745.747,2.259,-0.679,269.603,0.452
16.4,879.362,64.021,-677.089,2.301,1.59,269.735,0.432
16.6,878.65,64.283,-771.454,2.1,-1.056,270.11,0.41
16.8,877.939,65.53,-699.648,2.251,-1.868,269.465,0.442
17.0,877.228,65.408,-727.72,1.84,-0.275,270.242,0.429
17.2,876.517,64.616,-650.205,2.235,-0.505,269.838,0.448
17.4,875.806,64.999,-695.841,2.34,0.681,270.083,0.442
17.6,875.094,65.267,-718.419,2.128,-0.744,270.044,0.434
17.8,874.383,65.281,-712.483,2.056,-0.182,269.834,0.428
18.0,873.672,65.526,-714.382,2.257,-0.842,270.394,0.429
18.2,872.961,65.154,-695.292,2.226,-0.976,270.702,0.452
18.4,872.25,64.943,-703.954,1.85,0.368,270.189,0.447
18.6,871.538,64.845,-683.603,2.272,0.12,269.485,0.435
18.8,870.827,65.633,-661.493,2.149,-0.057,270.037,0.44
19.0,870.116,63.649,-682.465,2.032,0.516,269.932,0.446
19.2,869.405,64.917,-730.65,2.261,-0.83,270.273,0.435
19.4,868.694,65.02,-740.595,2.185,0.016,270.018,0.419
19.6,867.982,64.145,-718.885,2.149,0.201,270.643,0.453
19.8,867.271,65.2,-673.67,1.898,1.18,270.208,0.433
20.0,866.56,64.609,-708.376,2.167,-1.899,270.18,0.43
20.2,865.849,65.517,-716.689,1.778,-0.357,269.897,0.437
20.4,865.138,64.925,-696.543,1.975,0.445,269.733,0.427
20.6,864.426,65.401,-735.388,1.661,-0.584,269.975,0.425
20.8,863.715,65.731,-728.483,1.659,0.086,270.061,0.438
21.0,863.004,65.23,-687.242,2.089,0.682,270.144,0.429
21.2,862.293,64.475,-707.579,1.984,0.475,270.06,0.44
21.4,861.582,64.091,-711.331,2.017,-1.734,269.916,0.44
21.6,860.87,66.052,-692.059,2.118,-1.214,270.015,0.455
21.8,860.159,64.933,-714.622,2.07,-2.834,269.861,0.433
22.0,859.448,64.587,-717.157,1.823,0.648,269.703,0.436
22.2,858.737,65.087,-711.495,2.015,0.205,269.74,0.43
22.4,858.026,64.885,-684.934,1.987,1.343,270.148,0.447
22.6,857.314,65.511,-698.505,1.896,0.046,270.218,0.44
22.8,856.603,65.02,-729.865,1.975,-1.152,269.935,0.438
23.0,855.892,65.008,-707.576,1.927,1.069,269.959,0.453
23.2,855.181,64.571,-683.794,1.87,-1.329,270.164,0.437
23.4,854.47,65.282,-653.231,1.933,-0.009,269.959,0.437
23.6,853.758,64.38,-728.559,2.047,-0.214,270.943,0.421
23.8,853.047,65.4,-691.537,2.413,0.772,270.039,0.416
24.0,852.336,65.914,-706.469,1.837,0.906,269.844,0.429
24.2,851.625,64.085,-679.362,2.104,-0.431,269.457,0.435
24.4,850.914,63.52,-688.761,1.708,-0.741,270.063,0.423
24.6,850.202,65.37,-663.196,2.318,-0.056,270.308,0.424
24.8,849.491,66.529,-687.014,1.933,-0.586,269.983,0.441
25.0,848.78,64.399,-713.628,2.028,0.948,270.372,0.427
25.2,848.069,64.25,-713.465,2.255,0.373,269.822,0.427
25.4,847.358,65.353,-689.861,2.198,1.393,269.97,0.429
25.6,846.646,64.496,-690.126,1.702,2.613,269.944,0.422
25.8,845.935,64.696,-640.052,2.111,-0.874,269.775,0.441
26.0,845.224,64.791,-658.092,1.955,-0.609,269.555,0.447
26.2,844.513,65.319,-729.339,2.124,0.475,269.714,0.443
26.4,843.802,64.757,-691.244,2.03,0.398,269.429,0.448
26.6,843.09,65.167,-733.275,2.147,-0.353,270.228,0.412
26.8,842.379,64.894,-741.392,2.058,-1.728,269.949,0.441
27.0,841.668,64.493,-681.411,1.972,2.548,269.969,0.43
27.2,840.957,64.808,-686.206,2.235,0.079,269.828,0.445
27.4,840.246,64.43,-725.964,1.691,-1.179,270.286,0.425
27.6,839.534,65.004,-658.908,1.913,-2.417,269.746,0.44
27.8,838.823,64.326,-724.439,1.809,1.403,270.505,0.449
28.0,838.112,64.344,-729.193,1.971,0.326,270.326,0.437
28.2,837.401,65.874,-683.685,1.914,-0.002,269.79,0.432
28.4,836.69,64.968,-694.477,1.97,-1.05,269.94,0.429
28.6,835.978,64.968,-704.013,1.902,-0.11,270.189,0.436
28.8,835.267,65.307,-701.677,1.906,-0.397,270.375,0.429
29.0,834.556,64.747,-694.405,1.671,-2.518,269.762,0.419
29.2,833.845,64.863,-703.489,1.992,2.686,269.85,0.437
29.4,833.134,65.255,-704.313,2.062,0.436,270.751,0.447
29.6,832.422,65.169,-747.399,1.881,-0.351,270.276,0.434
29.8,831.711,64.304,-733.549,1.869,-0.98,270.269,0.441
30.0,831.0,65.5,-684.726,1.871,-0.616,270.58,0.442
30.2,830.289,64.646,-717.608,2.336,2.433,270.134,0.43
30.4,829.578,64.366,-686.37,2.038,0.39,269.863,0.429
30.6,828.866,64.46,-669.113,2.078,-1.351,269.481,0.422
30.8,828.155,64.766,-708.874,1.94,0.889,270.259,0.432
31.0,827.444,65.976,-692.926,1.9,0.494,269.66,0.435
31.2,826.733,64.295,-648.088,1.824,0.523,270.201,0.42
31.4,826.022,65.096,-682.627,2.308,-0.141,269.408,0.426
31.6,825.31,63.717,-653.953,1.66,-0.179,269.858,0.44
31.8,824.599,64.999,-661.665,2.06,0.207,269.995,0.422
32.0,823.888,65.54,-681.166,1.995,-0.221,269.625,0.436
32.2,823.177,64.858,-702.797,1.949,-1.431,269.836,0.432
32.4,822.466,64.622,-721.05,1.687,-1.019,269.75,0.426
32.6,821.754,65.139,-727.792,1.753,-0.001,270.039,0.437
32.8,821.043,65.42,-687.842,2.196,-1.623,269.622,0.435
33.0,820.332,65.398,-688.295,1.861,-0.146,269.921,0.428
33.2,819.621,66.183,-704.366,2.176,-0.331,270.412,0.429
33.4,818.91,65.126,-678.788,2.134,0.729,270.42,0.432
33.6,818.198,64.645,-715.113,2.116,0.153,270.567,0.433
33.8,817.487,64.924,-672.245,2.152,-0.311,270.125,0.432
34.0,816.776,64.957,-699.0,1.758,-0.309,269.878,0.435
34.2,816.065,65.065,-700.908,1.905,0.425,270.099,0.422
34.4,815.354,64.982,-700.007,2.136,0.936,270.213,0.442
34.6,814.642,65.104,-702.465,1.748,-1.093,270.084,0.426
34.8,813.931,63.997,-637.793,2.333,-1.557,270.435,0.425
35.0,813.22,65.498,-740.288,1.888,-0.763,269.803,0.44
35.2,812.509,64.655,-695.569,1.987,-2.341,269.938,0.437
35.4,811.798,64.296,-668.897,1.795,-0.804,269.544,0.408
35.6,811.086,65.383,-682.062,2.073,0.829,269.874,0.426
35.8,810.375,65.79,-707.552,1.853,0.979,270.372,0.434
36.0,809.664,65.296,-656.497,1.951,1.539,270.016,0.432
36.2,808.953,65.097,-726.712,1.772,0.056,270.224,0.409
36.4,808.242,64.441,-732.657,2.238,0.146,270.128,0.419
36.6,807.53,66.723,-685.798,1.673,-0.608,270.289,0.418
36.8,806.819,65.528,-736.362,2.09,-0.538,269.749,0.432
37.0,806.108,64.316,-759.449,2.047,0.28,270.16,0.434
37.2,805.397,64.532,-677.928,2.088,0.908,270.204,0.429
37.4,804.686,65.052,-680.966,1.796,0.421,270.347,0.425
37.6,803.974,64.067,-681.693,2.207,-2.058,270.418,0.417
37.8,803.263,65.101,-712.187,2.193,0.488,269.851,0.436
38.0,802.552,64.725,-695.426,2.032,-0.009,269.571,0.403
38.2,801.841,65.736,-724.133,2.063,-0.61,269.807,0.43
38.4,801.13,65.577,-656.641,1.969,0.129,270.397,0.431
38.6,800.418,63.373,-680.224,2.129,0.893,269.702,0.428
38.8,799.707,65.025,-681.444,1.836,0.128,269.587,0.424
39.0,798.996,64.03,-748.75,2.111,-0.746,269.607,0.426
39.2,798.285,65.666,-679.817,2.081,3.367,269.61,0.431
39.4,797.574,65.101,-662.651,1.718,-0.654,270.216,0.417
39.6,796.862,65.329,-669.593,1.475,0.452,269.77,0.431
39.8,796.151,64.361,-680.272,1.977,1.254,269.813,0.424
40.0,795.44,66.097,-700.024,1.968,-0.887,270.343,0.424
40.2,794.729,66.212,-708.546,2.244,0.537,270.281,0.397
40.4,794.018,64.361,-684.959,2.012,-0.875,270.264,0.41
40.6,793.306,65.224,-690.431,1.9,-0.286,269.77,0.421
40.8,792.595,64.596,-694.091,1.728,-0.784,269.489,0.416
41.0,791.884,64.986,-707.731,1.982,1.758,270.106,0.432
41.2,791.173,64.241,-657.969,1.883,-1.407,270.527,0.408
41.4,790.462,66.12,-729.196,1.779,0.502,269.893,0.434
41.6,789.75,64.418,-700.566,1.976,0.017,269.918,0.43
41.8,789.039,64.822,-714.505,2.211,-2.019,269.026,0.424
42.0,788.328,65.301,-674.199,2.019,1.73,270.52,0.417
42.2,787.617,64.611,-664.238,1.79,-0.594,269.94,0.41
42.4,786.906,64.856,-668.898,2.065,-0.284,269.478,0.41
42.6,786.194,64.662,-681.115,1.78,0.199,269.982,0.414
42.8,785.483,64.92,-735.065,1.684,-0.935,269.821,0.421
43.0,784.772,64.298,-647.969,2.099,-0.802,270.188,0.428
43.2,784.061,64.737,-687.083,1.89,-0.058,270.646,0.428
43.4,783.35,64.876,-702.712,2.223,-0.908,269.758,0.432
43.6,782.638,64.8,-699.462,2.062,0.079,270.047,0.431
43.8,781.927,65.034,-708.488,1.839,1.258,269.885,0.414
44.0,781.216,64.824,-689.403,2.044,-1.044,269.801,0.415
44.2,780.505,65.452,-692.246,2.259,-1.618,270.138,0.431
44.4,779.794,64.806,-709.003,1.962,-0.154,270.464,0.412
44.6,779.082,64.918,-764.247,1.788,0.384,270.132,0.43
44.8,778.371,64.601,-700.878,1.868,0.655,269.872,0.421
45.0,777.66,64.684,-688.079,1.837,-1.127,270.156,0.406
45.2,776.949,64.241,-686.846,1.764,-2.396,270.071,0.424
45.4,776.238,65.311,-703.837,1.742,0.865,270.245,0.422
45.6,775.526,64.314,-688.667,2.084,0.697,269.835,0.411
45.8,774.815,64.552,-674.292,2.222,1.502,270.041,0.395
46.0,774.104,65.216,-711.756,1.928,-0.994,270.494,0.422
46.2,773.393,65.242,-663.343,2.157,0.546,270.006,0.424
46.4,772.682,64.76,-748.879,2.182,0.993,270.293,0.427
46.6,771.97,63.788,-731.526,2.337,-1.873,269.997,0.423
46.8,771.259,65.252,-722.629,1.963,1.042,270.021,0.412
47.0,770.548,65.156,-761.112,1.93,1.418,269.777,0.402
47.2,769.837,64.153,-724.994,2.084,0.562,270.855,0.417
47.4,769.126,65.462,-668.791,2.02,0.521,270.359,0.428
47.6,768.414,64.579,-668.962,2.06,0.725,270.354,0.417
47.8,767.703,64.324,-697.566,2.259,-0.284,270.347,0.406
48.0,766.992,65.057,-656.975,1.914,-1.47,269.694,0.401
48.2,766.281,64.893,-694.013,2.043,-0.953,269.772,0.391
48.4,765.57,65.122,-712.445,1.804,-0.202,269.946,0.419
48.6,764.858,64.037,-693.959,1.968,-0.876,269.496,0.422
48.8,764.147,66.087,-703.429,1.865,1.009,269.729,0.396
49.0,763.436,64.638,-681.602,1.848,-0.434,270.249,0.411
49.2,762.725,64.076,-737.576,1.956,-0.136,269.359,0.431
49.4,762.014,65.371,-675.015,1.911,-1.803,269.73,0.396
49.6,761.302,64.787,-711.488,2.074,0.375,269.969,0.432
49.8,760.591,65.195,-678.617,2.161,-0.731,269.971,0.428
50.0,759.88,64.796,-738.526,1.702,1.494,269.989,0.425
50.2,759.169,64.964,-710.481,2.201,-1.754,269.77,0.421
50.4,758.458,65.147,-698.048,1.555,0.303,270.272,0.421
50.6,757.746,64.552,-677.464,2.049,-0.431,269.29,0.423
50.8,757.035,65.407,-730.438,2.142,-0.387,270.124,0.433
51.0,756.324,64.718,-658.314,1.87,1.686,269.545,0.405
51.2,755.613,64.478,-687.933,1.954,0.94,269.781,0.398
51.4,754.902,65.046,-713.144,1.844,-0.878,269.977,0.396
51.6,754.19,65.267,-669.567,2.179,1.377,270.482,0.418
51.8,753.479,64.863,-697.432,1.366,-0.678,269.725,0.426
52.0,752.768,64.482,-671.043,1.806,0.776,269.564,0.408
52.2,752.057,65.372,-641.921,1.613,-1.766,270.292,0.419
52.4,751.346,63.944,-680.787,2.038,-0.347,269.974,0.417
52.6,750.634,64.381,-713.167,2.26,-0.314,270.003,0.426
52.8,749.923,65.024,-710.643,2.238,-0.353,270.168,0.422
53.0,749.212,64.183,-685.436,2.134,-1.618,270.3,0.419
53.2,748.501,65.017,-692.802,2.05,-1.925,270.047,0.408
53.4,747.79,64.967,-720.826,1.847,-0.04,269.365,0.41
53.6,747.078,65.539,-716.703,2.244,0.586,269.937,0.423
53.8,746.367,64.451,-683.355,2.125,0.012,270.006,0.416
54.0,745.656,64.624,-641.333,1.831,-0.364,269.651,0.427
54.2,744.945,65.2,-765.759,1.744,-1.533,269.692,0.407
54.4,744.234,63.525,-681.902,1.874,-0.292,270.191,0.423
54.6,743.522,66.86,-705.276,2.216,-0.58,270.073,0.412
54.8,742.811,64.581,-680.516,2.25,-0.743,269.727,0.417
55.0,742.1,64.562,-678.307,2.323,0.156,270.168,0.396
55.2,741.389,65.517,-698.679,1.845,0.152,270.04,0.42
55.4,740.678,64.976,-725.399,1.928,0.381,269.611,0.404
55.6,739.966,63.932,-734.926,2.277,-0.278,269.917,0.425
55.8,739.255,65.376,-746.854,2.044,-0.856,269.604,0.421
56.0,738.544,65.513,-669.441,2.153,-0.219,269.74,0.406
56.2,737.833,64.73,-705.243,1.736,-0.333,270.09,0.427
56.4,737.122,64.831,-713.507,1.926,-1.666,269.631,0.427
56.6,736.41,65.292,-706.943,1.997,-0.372,269.625,0.429
56.8,735.699,64.455,-733.487,1.929,-1.687,270.113,0.424
57.0,734.988,65.263,-692.385,1.917,-1.999,269.696,0.408
57.2,734.277,65.12,-667.032,1.674,-0.848,269.917,0.426
57.4,733.566,64.595,-671.538,2.326,-0.668,269.924,0.399
57.6,732.854,64.165,-739.145,2.03,0.673,269.951,0.408
57.8,732.143,64.865,-665.912,1.709,-0.334,270.114,0.415
58.0,731.432,64.475,-719.106,2.216,0.505,269.869,0.395
58.2,730.721,65.601,-747.824,2.014,1.42,269.766,0.423
58.4,730.01,65.086,-730.737,2.145,0.096,269.861,0.417
58.6,729.298,65.469,-724.163,1.963,0.355,270.349,0.41
58.8,728.587,65.081,-700.174,1.845,-0.717,270.28,0.389
59.0,727.876,65.158,-725.799,1.851,0.797,269.984,0.404
59.2,727.165,64.53,-737.756,2.071,0.033,270.37,0.419
59.4,726.454,65.401,-706.612,2.158,0.04,270.213,0.417
59.6,725.742,66.071,-651.902,2.101,-1.154,269.677,0.401
59.8,725.031,64.814,-717.559,2.132,-0.962,270.455,0.397
60.0,724.32,64.644,-688.394,2.244,-0.699,270.842,0.41
60.2,723.609,64.905,-698.001,2.061,0.079,270.109,0.398
60.4,722.898,64.711,-633.548,2.205,1.066,269.513,0.393
60.6,722.186,64.579,-747.456,2.226,-1.541,270.451,0.424
60.8,721.475,65.083,-672.615,2.063,-0.392,270.183,0.409
61.0,720.764,64.825,-732.035,1.99,-0.336,269.968,0.413
61.2,720.053,65.863,-714.81,1.919,2.252,269.389,0.407
61.4,719.342,65.0,-702.417,1.765,-0.227,269.969,0.418
61.6,718.63,65.194,-620.348,1.695,-0.565,269.91,0.418
61.8,717.919,65.571,-719.075,2.269,0.718,269.905,0.407
62.0,717.208,64.82,-747.222,2.004,-1.138,269.873,0.404
62.2,716.497,65.862,-667.566,1.897,0.513,270.289,0.404
62.4,715.786,64.62,-720.981,2.323,-1.704,269.873,0.417
62.6,715.074,64.515,-706.074,2.202,1.995,270.13,0.409
62.8,714.363,64.78,-700.601,2.02,-0.074,269.427,0.396
63.0,713.652,64.931,-697.575,2.209,-0.457,269.703,0.421
63.2,712.941,64.159,-704.253,1.97,-1.344,269.998,0.408
63.4,712.23,64.979,-693.306,2.081,-0.181,269.732,0.412
63.6,711.518,64.0,-690.316,2.373,0.054,270.012,0.422
63.8,710.807,65.835,-678.652,2.221,-0.76,269.985,0.412
64.0,710.096,64.951,-710.681,1.955,1.163,270.057,0.415
64.2,709.385,64.615,-718.718,2.149,-0.358,269.901,0.406
64.4,708.674,64.455,-726.589,2.247,0.065,270.193,0.413
64.6,707.962,64.769,-685.182,1.987,0.256,269.591,0.416
64.8,707.251,64.866,-701.157,1.928,1.333,269.881,0.41
65.0,706.54,64.373,-686.17,2.387,-0.41,270.46,0.405
65.2,705.829,64.448,-686.545,1.953,0.043,269.875,0.405
65.4,705.118,64.888,-657.853,1.749,0.268,270.462,0.403
65.6,704.406,64.688,-694.812,2.042,0.588,270.106,0.408
65.8,703.695,65.564,-681.191,2.473,-1.861,269.929,0.401
66.0,702.984,65.683,-730.065,2.142,1.126,270.028,0.411
66.2,702.273,65.01,-727.008,2.209,-0.146,270.482,0.401
66.4,701.562,65.284,-707.793,1.585,-0.745,269.907,0.415
66.6,700.85,64.199,-730.418,1.909,-0.053,269.667,0.406
66.8,700.139,65.382,-682.76,2.262,-1.944,270.152,0.399
67.0,699.428,64.982,-733.326,1.941,-0.789,270.217,0.409
67.2,698.717,65.291,-698.29,2.286,0.167,270.259,0.394
67.4,698.006,65.96,-761.452,2.119,1.339,269.543,0.434
67.6,697.294,63.631,-727.619,2.104,-0.102,270.121,0.398
67.8,696.583,65.157,-708.476,2.361,0.377,270.022,0.403
68.0,695.872,64.341,-706.476,1.925,-0.313,269.927,0.418
68.2,695.161,65.355,-744.791,1.932,0.844,269.859,0.399
68.4,694.45,64.212,-697.283,2.047,-0.417,270.142,0.395
68.6,693.738,64.703,-675.628,2.07,0.444,269.98,0.394
68.8,693.027,65.122,-683.794,1.687,-0.352,269.987,0.415
69.0,692.316,65.368,-716.465,2.273,-0.984,270.602,0.392
69.2,691.605,65.045,-714.682,2.073,-1.01,270.018,0.42
69.4,690.894,64.524,-729.658,1.994,-0.661,269.652,0.409
69.6,690.182,64.668,-684.255,2.151,1.145,269.723,0.402
69.8,689.471,65.531,-663.959,1.948,3.178,269.771,0.414
70.0,688.76,64.997,-713.149,2.269,-0.216,269.515,0.403
70.2,688.049,63.99,-742.445,2.04,-0.752,270.326,0.4
70.4,687.338,65.506,-695.0,2.172,0.519,270.558,0.39
70.6,686.626,65.25,-682.306,1.85,0.476,269.81,0.388
70.8,685.915,65.524,-768.053,1.972,-0.542,270.272,0.405
71.0,685.204,64.798,-696.541,2.102,1.911,269.774,0.382
71.2,684.493,65.497,-645.89,1.838,0.866,269.793,0.386
71.4,683.782,64.363,-679.484,1.895,0.935,269.473,0.386
71.6,683.07,65.342,-686.239,2.016,0.057,269.981,0.401
71.8,682.359,64.706,-689.947,2.249,0.124,270.369,0.388
72.0,681.648,65.405,-673.453,2.178,0.969,270.378,0.399
72.2,680.937,65.603,-723.529,2.207,-1.398,270.157,0.426
72.4,680.226,64.558,-721.133,2.087,-0.81,269.918,0.401
72.6,679.514,64.969,-689.811,2.206,0.085,270.361,0.418
72.8,678.803,65.023,-717.133,2.334,-1.468,270.522,0.402
73.0,678.092,65.714,-693.532,2.059,1.643,269.769,0.389
73.2,677.381,65.426,-747.814,2.112,-0.625,270.079,0.394
73.4,676.67,64.268,-681.051,2.142,-0.431,269.984,0.393
73.6,675.958,65.275,-678.826,1.625,0.324,269.806,0.404
73.8,675.247,65.447,-698.908,2.005,1.509,269.646,0.406
74.0,674.536,66.274,-695.889,2.108,-0.043,269.75,0.401
74.2,673.825,63.993,-659.484,2.175,-0.768,270.033,0.395
74.4,673.114,64.678,-727.077,1.96,-0.934,270.076,0.391
74.6,672.402,65.8,-722.829,2.219,0.233,270.042,0.395
74.8,671.691,64.187,-727.345,1.896,-0.58,270.384,0.39
75.0,670.98,64.28,-710.618,1.989,2.375,269.793,0.391
75.2,670.269,65.31,-725.279,2.36,1.259,269.622,0.423
75.4,669.558,65.611,-699.074,1.753,-3.169,269.646,0.407
75.6,668.846,64.599,-716.268,2.007,-0.93,270.119,0.388
75.8,668.135,65.324,-736.229,1.993,0.353,269.838,0.398
76.0,667.424,65.07,-738.754,2.004,2.315,269.505,0.401
76.2,666.713,65.911,-669.709,1.915,-2.019,270.278,0.397
76.4,666.002,64.999,-701.722,2.151,-0.443,270.42,0.391
76.6,665.29,65.594,-705.683,1.807,1.205,270.054,0.401
76.8,664.579,64.458,-699.336,1.756,-0.694,270.193,0.398
77.0,663.868,64.889,-702.059,2.116,0.071,269.581,0.402
77.2,663.157,64.942,-681.097,1.781,-0.5,269.576,0.408
77.4,662.446,65.683,-685.944,2.094,0.672,270.049,0.391
77.6,661.734,65.348,-714.743,2.023,-1.099,270.063,0.398
77.8,661.023,64.549,-720.588,1.881,0.023,269.942,0.392
78.0,660.312,65.409,-727.168,1.949,-1.455,269.913,0.388
78.2,659.601,65.462,-731.278,1.998,0.977,269.811,0.391
78.4,658.89,64.933,-664.946,2.107,0.605,270.433,0.398
78.6,658.178,64.845,-722.913,1.89,-0.036,269.743,0.39
78.8,657.467,64.884,-750.476,1.974,0.037,269.96,0.386
79.0,656.756,63.983,-721.087,1.729,0.027,270.312,0.388
79.2,656.045,65.113,-719.709,1.96,-0.369,269.694,0.397
79.4,655.334,65.141,-691.754,1.631,0.157,270.043,0.409
79.6,654.622,64.481,-722.15,2.005,0.367,269.966,0.408
79.8,653.911,65.445,-686.631,1.923,-0.069,270.185,0.379
80.0,653.2,64.176,-690.287,2.431,-0.595,269.266,0.392
80.2,652.489,64.669,-668.329,2.269,-0.407,269.911,0.401
80.4,651.778,64.715,-645.825,1.982,-0.459,269.764,0.391
80.6,651.066,66.193,-628.777,2.201,0.454,270.327,0.393
80.8,650.355,64.04,-666.229,2.068,0.154,269.983,0.385
81.0,649.644,65.338,-728.993,1.781,1.973,269.831,0.396
81.2,648.933,65.565,-710.105,1.526,-0.173,270.266,0.393
81.4,648.222,65.227,-693.809,2.231,0.075,270.192,0.386
81.6,647.51,65.709,-648.297,2.087,-0.629,270.305,0.399
81.8,646.799,64.398,-683.084,1.618,0.101,270.325,0.404
82.0,646.088,63.632,-669.916,2.136,-0.445,270.231,0.398
82.2,645.377,65.46,-704.349,2.191,-0.859,269.828,0.382
82.4,644.666,64.283,-685.243,1.872,0.162,270.09,0.396
82.6,643.954,64.804,-682.045,2.166,1.591,270.089,0.401
