t,alt_msl_m,ias_kt,vs_fpm,pitch_deg,roll_deg,hdg_deg,throttle
7.4,911.366,65.521,-681.538,1.848,0.225,269.992,0.44
7.6,910.654,64.322,-698.87,1.944,1.108,270.22,0.435
7.8,909.943,64.747,-702.353,2.201,-1.625,269.956,0.447
8.0,909.232,65.146,-717.642,1.973,1.346,269.708,0.44
8.2,908.521,66.081,-715.093,1.855,-1.125,269.748,0.437
8.4,907.81,64.541,-683.435,1.751,0.406,269.866,0.452
8.6,907.098,64.353,-739.438,1.892,2.19,270.306,0.446
8.8,906.387,64.662,-650.551,2.229,0.136,269.841,0.456
9.0,905.676,65.582,-703.764,1.982,-0.172,269.828,0.439
9.2,904.965,64.859,-647.891,1.969,0.827,270.155,0.456
9.4,904.254,65.795,-672.879,2.143,-0.775,270.005,0.463
9.6,903.542,63.876,-712.746,2.167,-0.896,270.016,0.44
9.8,902.831,65.677,-683.981,2.2,1.04,270.066,0.439
10.0,902.12,65.621,-695.978,1.927,-1.441,270.506,0.436
10.2,901.409,64.149,-690.886,1.815,-1.191,269.897,0.436
10.4,900.698,65.092,-682.644,1.664,1.822,269.859,0.441
10.6,899.986,65.729,-716.228,1.861,-1.201,270.536,0.446
10.8,899.275,65.053,-718.052,1.924,0.499,269.727,0.438
11.0,898.564,65.6,-713.098,2.145,1.165,269.48,0.448
11.2,897.853,66.425,-736.855,2.063,-0.006,270.255,0.433
11.4,897.142,65.164,-709.279,1.885,-1.015,269.853,0.44
11.6,896.43,64.832,-697.018,2.176,0.878,269.991,0.451
11.8,895.719,64.537,-696.536,1.747,-0.888,270.023,0.455
12.0,895.008,65.389,-698.003,1.788,2.174,269.652,0.459
12.2,894.297,64.882,-712.758,1.763,2.276,270.147,0.457
12.4,893.586,64.893,-683.219,1.78,-0.983,269.635,0.453
12.6,892.874,64.937,-754.253,1.947,0.632,270.248,0.426
12.8,892.163,65.39,-712.947,1.829,-0.66,270.337,0.435
13.0,891.452,64.36,-711.294,1.846,0.428,269.789,0.436
13.2,890.741,64.082,-680.719,2.266,-0.208,270.323,0.441
13.4,890.03,63.54,-686.571,1.705,-0.94,270.05,0.445
13.6,889.318,65.719,-683.22,1.791,0.562,270.547,0.455
13.8,888.607,65.044,-702.937,1.95,-1.615,270.005,0.436
14.0,887.896,65.906,-679.627,2.087,0.355,269.459,0.415
14.2,887.185,64.995,-728.506,2.095,-0.115,269.451,0.428
14.4,886.474,64.555,-701.702,1.945,-0.745,270.263,0.444
14.6,885.762,65.287,-756.361,1.924,0.947,269.858,0.446
14.8,885.051,64.954,-660.765,1.944,0.08,270.112,0.43
15.0,884.34,64.247,-663.845,2.147,-0.311,269.663,0.449
15.2,883.629,64.469,-718.638,1.813,-0.13,269.823,0.442
15.4,882.918,66.06,-724.919,1.527,-0.19,269.33,0.453
15.6,882.206,65.213,-756.186,2.035,0.972,270.111,0.415
15.8,881.495,65.25,-742.048,1.764,-0.257,270.231,0.441
16.0,880.784,64.834,-700.718,1.986,-2.878,269.763,0.438
16.2,880.073,64.586,-707.702,2.276,-3.088,270.144,0.44
16.4,879.362,65.535,-740.659,2.017,-1.028,269.775,0.435
16.6,878.65,64.937,-716.262,2.365,-1.233,270.101,0.432
16.8,877.939,64.545,-720.387,1.679,-0.246,269.855,0.435
17.0,877.228,64.92,-692.017,2.046,-1.334,269.728,0.426
17.2,876.517,64.457,-685.992,2.076,-0.782,270.129,0.416
17.4,875.806,65.114,-709.21,2.164,1.355,269.428,0.444
17.6,875.094,65.678,-700.83,1.852,-1.314,270.535,0.433
17.8,874.383,64.498,-703.828,2.03,0.88,269.513,0.428
18.0,873.672,65.857,-755.918,2.023,-0.094,269.393,0.45
18.2,872.961,64.599,-699.191,2.016,1.338,270.069,0.435
18.4,872.25,65.092,-705.282,1.724,0.933,269.674,0.436
18.6,871.538,64.498,-684.898,1.653,0.096,270.168,0.444
18.8,870.827,64.867,-749.551,2.107,1.123,269.566,0.434
19.0,870.116,65.028,-684.522,2.068,0.266,270.431,0.439
19.2,869.405,64.739,-719.594,2.006,-1.084,270.368,0.429
19.4,868.694,64.578,-696.938,2.127,0.545,269.67,0.448
19.6,867.982,64.593,-673.317,2.216,0.556,270.582,0.437
19.8,867.271,64.507,-740.489,1.767,-0.063,269.856,0.453
20.0,866.56,64.058,-736.375,2.156,0.316,269.988,0.443
20.2,865.849,64.842,-678.704,2.298,-0.376,269.791,0.449
20.4,865.138,65.241,-732.084,2.205,0.389,270.069,0.432
20.6,864.426,65.545,-727.539,2.119,-0.212,270.104,0.431
20.8,863.715,65.388,-688.485,2.143,-1.484,269.95,0.445
21.0,863.004,66.474,-708.621,1.713,-0.203,270.078,0.444
21.2,862.293,65.191,-684.069,1.903,1.666,270.027,0.434
21.4,861.582,64.726,-696.017,2.208,0.897,270.132,0.442
21.6,860.87,66.123,-704.151,2.3,1.577,269.595,0.434
21.8,860.159,64.372,-678.87,2.096,0.07,269.859,0.44
22.0,859.448,65.581,-648.764,1.913,-0.339,269.64,0.428
22.2,858.737,64.427,-705.963,1.977,-1.0,269.972,0.443
22.4,858.026,65.212,-666.463,2.176,0.221,269.968,0.431
22.6,857.314,63.819,-675.111,2.409,1.094,269.929,0.44
22.8,856.603,65.54,-700.693,2.164,0.889,269.782,0.432
23.0,855.892,64.905,-692.011,1.902,0.812,270.535,0.435
23.2,855.181,64.419,-726.879,2.132,-0.442,269.698,0.435
23.4,854.47,66.007,-718.848,2.094,0.177,270.144,0.436
23.6,853.758,65.459,-696.49,2.487,-0.709,269.853,0.447
23.8,853.047,65.027,-704.602,2.127,0.898,270.43,0.451
24.0,852.336,64.553,-670.883,2.015,0.669,270.35,0.439
24.2,851.625,64.974,-735.912,1.993,-0.572,270.116,0.423
24.4,850.914,64.902,-710.742,1.762,0.193,270.192,0.434
24.6,850.202,65.435,-719.351,1.798,-2.207,269.735,0.424
24.8,849.491,65.479,-707.2,1.913,0.771,269.681,0.447
25.0,848.78,64.599,-674.283,1.846,-0.758,270.22,0.434
25.2,848.069,64.67,-733.555,2.047,-0.307,269.994,0.431
25.4,847.358,64.681,-682.116,2.029,0.668,269.524,0.437
25.6,846.646,64.19,-718.12,2.197,0.739,269.937,0.429
25.8,845.935,64.645,-711.463,2.312,-0.614,269.597,0.439
26.0,845.224,64.945,-678.374,2.04,1.657,269.557,0.436
26.2,844.513,65.415,-710.418,1.97,2.086,269.97,0.42
26.4,843.802,65.792,-686.632,1.638,1.513,270.006,0.439
26.6,843.09,64.515,-700.454,2.085,1.375,269.892,0.427
26.8,842.379,65.331,-707.623,2.141,0.117,269.837,0.44
27.0,841.668,64.733,-712.296,1.855,1.456,269.672,0.412
27.2,840.957,66.245,-746.568,1.931,-0.821,269.925,0.448
27.4,840.246,64.971,-721.924,1.869,-1.055,269.947,0.428
27.6,839.534,65.301,-699.064,2.221,0.222,269.844,0.429
27.8,838.823,64.438,-698.154,2.133,0.316,270.691,0.443
28.0,838.112,64.514,-740.488,2.253,-0.807,269.899,0.424
28.2,837.401,65.121,-678.096,1.768,1.844,270.02,0.44
28.4,836.69,64.77,-688.807,2.541,-1.409,269.753,0.415
28.6,835.978,65.212,-735.685,1.838,-2.018,269.933,0.445
28.8,835.267,64.063,-729.194,1.804,-0.348,270.002,0.446
29.0,834.556,65.397,-690.399,2.046,1.699,270.156,0.438
29.2,833.845,64.46,-747.076,1.897,0.805,269.083,0.417
29.4,833.134,66.033,-721.626,2.372,0.402,270.302,0.435
29.6,832.422,64.827,-704.363,1.925,0.191,270.149,0.433
29.8,831.711,65.658,-706.176,1.871,0.616,270.061,0.426
30.0,831.0,64.163,-704.402,2.203,0.373,269.679,0.422
30.2,830.289,65.257,-693.172,2.252,0.15,269.457,0.426
30.4,829.578,64.467,-722.895,1.839,-0.075,269.649,0.424
30.6,828.866,64.708,-715.086,1.911,-1.562,270.194,0.43
30.8,828.155,65.015,-651.52,1.935,1.019,270.183,0.439
31.0,827.444,64.81,-737.94,1.974,-0.385,269.987,0.428
31.2,826.733,65.159,-714.08,2.349,0.423,270.205,0.435
31.4,826.022,65.449,-700.042,2.258,0.538,269.712,0.43
31.6,825.31,65.392,-718.975,2.219,1.083,269.663,0.424
31.8,824.599,64.948,-672.207,2.261,-0.749,270.366,0.431
32.0,823.888,64.182,-700.93,2.009,0.869,270.323,0.428
32.2,823.177,64.517,-683.767,2.18,0.896,270.226,0.434
32.4,822.466,64.883,-768.131,1.991,-0.067,270.322,0.446
32.6,821.754,63.727,-672.97,1.855,-0.009,269.982,0.412
32.8,821.043,65.451,-673.928,2.338,0.191,269.307,0.431
33.0,820.332,64.856,-721.568,1.653,-0.986,269.915,0.41
33.2,819.621,64.849,-669.946,2.005,-0.417,270.324,0.426
33.4,818.91,65.569,-695.957,1.889,-1.1,269.92,0.414
33.6,818.198,65.401,-679.36,1.671,1.229,270.203,0.432
33.8,817.487,65.133,-657.2,1.927,-0.746,270.18,0.444
34.0,816.776,64.399,-699.994,2.017,-1.038,269.726,0.421
34.2,816.065,65.186,-727.827,2.095,0.191,270.15,0.43
34.4,815.354,65.208,-702.736,1.837,0.574,270.022,0.418
34.6,814.642,64.469,-734.355,2.153,-0.336,269.564,0.428
34.8,813.931,65.626,-722.473,2.063,-0.92,270.315,0.44
35.0,813.22,65.305,-721.497,2.164,0.453,269.676,0.417
35.2,812.509,63.818,-720.152,1.616,0.885,270.135,0.421
35.4,811.798,65.073,-673.15,1.911,-1.61,270.147,0.411
35.6,811.086,64.241,-681.375,1.878,0.939,269.769,0.428
35.8,810.375,65.682,-724.706,2.116,-1.748,269.721,0.43
36.0,809.664,65.484,-673.926,1.853,0.69,270.128,0.421
36.2,808.953,64.338,-744.222,1.898,-0.412,270.067,0.431
36.4,808.242,64.469,-718.596,1.771,-0.225,270.358,0.409
36.6,807.53,65.061,-705.613,1.761,0.748,270.049,0.428
36.8,806.819,64.857,-672.347,1.813,1.474,270.15,0.423
37.0,806.108,65.915,-683.853,2.192,2.12,270.049,0.41
37.2,805.397,65.445,-690.627,1.786,1.401,270.279,0.409
37.4,804.686,64.831,-669.366,1.512,0.717,269.7,0.415
37.6,803.974,65.346,-683.999,2.056,-1.311,269.436,0.43
37.8,803.263,63.781,-667.704,1.907,-0.377,270.145,0.434
38.0,802.552,65.186,-721.532,2.108,0.161,269.937,0.427
38.2,801.841,65.52,-744.112,2.104,-0.572,269.808,0.435
38.4,801.13,64.893,-712.241,1.935,0.613,270.496,0.423
38.6,800.418,64.574,-680.989,1.913,-0.216,269.575,0.415
38.8,799.707,65.34,-695.235,1.886,1.821,269.912,0.435
39.0,798.996,66.175,-679.47,1.995,-0.157,270.268,0.427
39.2,798.285,65.123,-683.925,1.841,-1.242,269.938,0.411
39.4,797.574,64.328,-688.781,2.036,-0.487,269.871,0.418
39.6,796.862,65.867,-681.194,2.273,-0.694,270.091,0.43
39.8,796.151,63.873,-719.572,1.863,0.735,269.885,0.432
40.0,795.44,65.302,-674.3,1.871,1.427,269.488,0.425
40.2,794.729,64.651,-726.814,1.87,1.047,269.603,0.413
40.4,794.018,65.558,-704.497,2.119,1.051,270.199,0.423
40.6,793.306,64.49,-737.039,2.128,-0.66,270.195,0.438
40.8,792.595,65.794,-688.974,2.284,-1.078,269.645,0.429
41.0,791.884,65.18,-740.459,2.14,-0.774,270.075,0.434
41.2,791.173,63.964,-666.444,2.023,0.064,270.186,0.412
41.4,790.462,63.816,-735.262,2.089,-0.313,270.196,0.418
41.6,789.75,64.81,-695.126,1.737,0.32,270.427,0.425
41.8,789.039,65.777,-705.111,2.111,1.061,270.288,0.424
42.0,788.328,65.076,-723.555,2.033,0.119,269.979,0.42
42.2,787.617,65.04,-670.339,2.413,1.745,269.925,0.405
42.4,786.906,64.858,-712.327,2.274,-0.734,270.2,0.424
42.6,786.194,65.443,-664.905,1.834,0.678,269.658,0.423
42.8,785.483,65.226,-727.274,1.886,-0.016,269.514,0.415
43.0,784.772,65.168,-721.673,2.175,1.053,270.238,0.43
43.2,784.061,64.409,-751.641,1.586,0.012,270.334,0.444
43.4,783.35,65.713,-687.749,1.816,-0.487,270.178,0.422
43.6,782.638,65.818,-678.638,2.073,-0.081,270.092,0.42
43.8,781.927,64.219,-695.955,2.128,-0.837,269.53,0.43
44.0,781.216,66.381,-705.622,2.036,-1.056,269.579,0.441
44.2,780.505,65.434,-724.621,2.232,0.844,269.815,0.422
44.4,779.794,64.707,-642.738,1.945,-0.563,270.492,0.419
44.6,779.082,63.857,-682.963,2.019,1.255,269.913,0.417
44.8,778.371,65.394,-747.711,1.961,2.556,270.051,0.44
45.0,777.66,65.335,-709.311,1.781,-0.337,269.765,0.429
45.2,776.949,64.643,-766.847,2.009,0.911,270.396,0.429
45.4,776.238,63.926,-662.01,1.89,-0.043,269.442,0.421
45.6,775.526,65.675,-652.027,2.016,-1.86,270.489,0.416
45.8,774.815,64.647,-664.914,1.478,-0.06,270.003,0.415
46.0,774.104,64.717,-702.852,2.022,1.513,269.218,0.431
46.2,773.393,66.707,-716.325,1.891,-1.185,270.027,0.437
46.4,772.682,66.277,-736.634,1.877,-0.135,270.175,0.412
46.6,771.97,65.572,-688.157,2.009,-0.148,270.174,0.431
46.8,771.259,64.727,-720.149,1.906,-1.424,270.142,0.403
47.0,770.548,65.39,-710.888,2.185,0.342,269.914,0.398
47.2,769.837,63.631,-717.483,2.249,-0.123,269.919,0.417
47.4,769.126,65.064,-709.191,2.176,0.603,270.037,0.423
47.6,768.414,64.544,-678.962,2.193,0.074,269.823,0.427
47.8,767.703,64.229,-659.124,2.073,-1.397,270.514,0.414
48.0,766.992,64.05,-697.64,2.006,0.152,269.651,0.411
48.2,766.281,65.315,-700.921,1.744,0.646,270.045,0.43
48.4,765.57,65.054,-729.294,1.927,-0.234,269.918,0.392
48.6,764.858,65.096,-732.195,2.242,0.578,269.572,0.424
48.8,764.147,65.505,-728.033,2.153,0.561,270.425,0.42
49.0,763.436,64.492,-679.191,1.903,-2.144,270.083,0.406
49.2,762.725,64.259,-695.149,2.022,0.636,269.8,0.411
49.4,762.014,63.934,-677.062,2.211,-2.023,269.747,0.433
49.6,761.302,64.799,-690.694,1.968,-1.291,269.924,0.389
49.8,760.591,65.456,-711.391,2.324,-0.137,270.471,0.412
50.0,759.88,64.91,-732.473,1.849,-0.988,270.069,0.402
50.2,759.169,65.385,-710.527,2.158,-0.82,269.732,0.415
50.4,758.458,64.291,-737.119,2.139,1.098,270.045,0.417
50.6,757.746,64.719,-651.044,2.035,-1.091,269.795,0.417
50.8,757.035,64.54,-694.49,2.061,1.168,270.162,0.421
51.0,756.324,64.251,-710.462,2.108,1.81,270.137,0.423
51.2,755.613,66.116,-651.173,1.548,1.384,270.23,0.419
51.4,754.902,65.511,-710.866,2.095,-1.13,270.104,0.402
51.6,754.19,64.543,-687.233,2.229,-1.564,270.04,0.407
51.8,753.479,64.54,-705.322,2.081,0.034,269.626,0.424
52.0,752.768,64.966,-692.218,2.228,2.095,270.081,0.411
52.2,752.057,64.135,-710.449,1.765,-0.244,270.341,0.422
52.4,751.346,65.261,-688.789,1.988,-0.595,269.583,0.425
52.6,750.634,64.223,-665.32,2.067,-0.155,270.285,0.386
52.8,749.923,64.778,-732.923,1.949,0.722,269.832,0.434
53.0,749.212,64.385,-757.071,2.238,1.163,269.824,0.421
53.2,748.501,64.712,-667.155,2.098,-0.036,269.83,0.421
53.4,747.79,64.201,-696.933,1.899,-0.165,270.222,0.424
53.6,747.078,64.056,-679.153,2.164,0.477,270.024,0.422
53.8,746.367,64.42,-708.436,2.164,0.001,270.069,0.424
54.0,745.656,64.592,-662.235,1.914,-0.445,269.716,0.407
54.2,744.945,64.823,-655.228,2.126,-1.804,270.482,0.413
54.4,744.234,65.041,-730.627,2.077,0.087,269.731,0.409
54.6,743.522,65.916,-684.202,2.072,-0.639,270.403,0.411
54.8,742.811,65.487,-716.553,1.751,-0.269,270.385,0.416
55.0,742.1,64.848,-741.827,2.256,-0.33,270.231,0.415
55.2,741.389,65.436,-708.852,2.13,-0.92,269.645,0.41
55.4,740.678,64.587,-686.937,1.996,0.522,270.033,0.407
55.6,739.966,65.869,-735.865,2.07,1.037,269.793,0.404
55.8,739.255,65.33,-733.81,2.068,0.496,270.479,0.41
56.0,738.544,64.186,-670.29,1.94,-0.687,270.099,0.403
56.2,737.833,65.453,-700.658,1.884,0.138,270.147,0.405
56.4,737.122,65.49,-691.362,2.02,0.667,270.086,0.419
56.6,736.41,63.389,-730.422,1.882,-0.136,270.098,0.42
56.8,735.699,64.551,-718.145,1.904,0.666,270.329,0.407
57.0,734.988,64.716,-698.631,1.768,-1.449,270.656,0.404
57.2,734.277,63.843,-697.034,1.945,-0.25,270.25,0.391
57.4,733.566,64.36,-698.177,2.201,1.407,270.393,0.408
57.6,732.854,64.431,-661.742,2.043,0.967,270.226,0.412
57.8,732.143,65.304,-697.813,2.01,-0.157,270.154,0.407
58.0,731.432,65.18,-740.778,1.937,0.093,269.681,0.407
58.2,730.721,66.576,-724.261,1.915,2.129,269.91,0.42
58.4,730.01,64.763,-703.718,1.701,1.069,269.847,0.417
58.6,729.298,65.692,-670.066,2.331,-0.727,270.202,0.405
58.8,728.587,65.047,-719.769,1.855,0.288,269.157,0.427
59.0,727.876,65.163,-712.37,1.701,-0.478,269.381,0.423
59.2,727.165,64.304,-703.231,2.08,-0.611,269.88,0.432
59.4,726.454,63.853,-720.492,2.051,-1.228,270.147,0.411
59.6,725.742,64.54,-723.53,1.897,0.698,269.924,0.405
59.8,725.031,65.457,-708.731,1.706,2.208,270.002,0.409
60.0,724.32,65.95,-677.737,1.724,0.847,270.245,0.409
60.2,723.609,65.362,-690.681,2.313,-1.319,270.457,0.401
60.4,722.898,65.299,-710.212,1.977,0.52,270.53,0.418
60.6,722.186,64.497,-692.818,1.869,-1.47,270.208,0.403
60.8,721.475,65.921,-735.454,2.372,0.217,270.36,0.388
61.0,720.764,65.806,-677.841,1.891,1.048,269.931,0.415
61.2,720.053,64.682,-684.375,1.815,1.476,269.781,0.408
61.4,719.342,64.972,-695.566,2.109,0.119,270.225,0.413
61.6,718.63,64.402,-744.343,2.073,0.321,270.509,0.403
61.8,717.919,65.88,-651.751,2.312,0.012,270.209,0.388
62.0,717.208,65.244,-777.072,1.689,-0.171,269.486,0.425
62.2,716.497,64.943,-728.396,2.058,1.563,270.365,0.415
62.4,715.786,65.244,-726.419,1.661,-0.952,270.618,0.407
62.6,715.074,65.264,-685.607,2.092,-1.592,270.273,0.411
62.8,714.363,64.753,-741.057,1.869,1.754,269.979,0.422
63.0,713.652,64.255,-697.233,1.908,2.268,269.808,0.412
63.2,712.941,64.23,-707.046,1.853,-1.594,269.728,0.406
63.4,712.23,63.957,-710.547,2.168,0.939,270.494,0.408
63.6,711.518,65.277,-681.56,2.324,0.809,269.978,0.394
63.8,710.807,66.331,-667.183,1.983,-0.419,269.992,0.41
64.0,710.096,63.981,-693.133,1.948,-0.954,270.01,0.406
64.2,709.385,65.083,-710.109,1.899,0.16,270.023,0.413
64.4,708.674,65.247,-760.768,2.104,-0.331,270.171,0.401
64.6,707.962,64.409,-665.964,1.794,0.821,269.947,0.401
64.8,707.251,65.123,-710.734,2.709,-0.63,270.165,0.389
65.0,706.54,64.342,-749.955,1.953,1.182,269.906,0.403
65.2,705.829,65.72,-699.066,2.342,-0.629,269.838,0.404
65.4,705.118,64.643,-666.448,2.029,1.633,269.546,0.402
65.6,704.406,65.06,-706.634,1.725,0.892,270.1,0.417
65.8,703.695,65.411,-732.599,1.687,1.141,270.446,0.414
66.0,702.984,64.742,-645.975,1.915,-0.383,270.245,0.406
66.2,702.273,63.925,-687.441,1.855,-0.226,270.388,0.396
66.4,701.562,64.681,-694.195,1.949,-0.089,269.953,0.407
66.6,700.85,65.458,-677.173,1.768,1.188,269.84,0.442
66.8,700.139,64.949,-757.735,2.468,-0.658,269.837,0.402
67.0,699.428,65.138,-704.582,2.424,-0.781,269.736,0.403
67.2,698.717,64.352,-706.955,1.636,-0.222,270.3,0.412
67.4,698.006,65.086,-645.409,2.094,0.36,270.431,0.396
67.6,697.294,65.437,-716.986,2.238,-0.077,269.856,0.409
67.8,696.583,65.022,-716.671,1.93,-0.061,270.19,0.391
68.0,695.872,66.145,-737.849,1.952,-1.311,269.649,0.404
68.2,695.161,64.875,-723.442,2.216,-0.616,270.154,0.406
68.4,694.45,64.375,-707.813,2.105,-1.07,270.292,0.406
68.6,693.738,64.029,-695.94,1.754,1.05,269.816,0.414
68.8,693.027,65.691,-707.591,2.242,-0.04,270.425,0.404
69.0,692.316,64.965,-651.785,1.899,0.68,269.93,0.402
69.2,691.605,65.607,-690.066,2.369,-1.313,270.136,0.412
69.4,690.894,65.275,-686.348,1.804,-0.036,270.546,0.402
69.6,690.182,65.975,-667.861,1.536,0.375,269.6,0.41
69.8,689.471,65.76,-686.439,2.016,-1.055,270.197,0.398
70.0,688.76,64.773,-715.691,2.239,-0.646,269.98,0.405
70.2,688.049,65.164,-741.609,2.099,-0.517,270.493,0.399
70.4,687.338,65.651,-693.374,2.027,0.147,270.046,0.403
70.6,686.626,64.258,-723.466,1.81,0.281,270.004,0.398
70.8,685.915,65.871,-669.058,2.179,-1.42,270.2,0.402
71.0,685.204,65.727,-721.875,1.622,0.33,270.573,0.377
71.2,684.493,65.59,-758.87,2.153,0.208,269.879,0.414
71.4,683.782,64.879,-701.366,1.751,0.29,269.774,0.391
71.6,683.07,65.181,-675.234,1.873,-0.873,269.821,0.403
71.8,682.359,64.33,-707.666,1.728,-0.073,270.332,0.392
72.0,681.648,65.035,-697.79,1.808,1.276,269.519,0.421
72.2,680.937,64.648,-698.503,2.291,1.146,269.705,0.411
72.4,680.226,65.052,-658.749,1.754,-0.616,269.854,0.419
72.6,679.514,64.703,-694.779,2.029,1.599,269.771,0.396
72.8,678.803,65.17,-703.476,1.829,-0.424,269.985,0.402
73.0,678.092,65.708,-718.067,2.197,-0.9,269.824,0.411
73.2,677.381,64.214,-744.102,1.716,1.119,269.438,0.397
73.4,676.67,65.555,-666.751,1.99,0.322,270.705,0.423
73.6,675.958,63.805,-673.334,2.172,2.287,270.339,0.409
73.8,675.247,63.703,-726.668,2.445,-0.235,269.98,0.407
74.0,674.536,64.928,-687.037,1.75,0.13,269.866,0.4
74.2,673.825,65.004,-694.205,1.812,0.732,269.825,0.413
74.4,673.114,65.266,-712.167,1.978,0.261,269.483,0.4
74.6,672.402,64.012,-710.456,2.287,-0.405,269.696,0.386
74.8,671.691,64.964,-683.388,1.781,-0.0,270.084,0.4
75.0,670.98,65.076,-733.114,2.153,-0.024,270.11,0.389
75.2,670.269,65.753,-715.75,1.861,-0.022,270.448,0.4
75.4,669.558,64.938,-704.493,1.778,-0.032,270.026,0.404
75.6,668.846,65.317,-702.72,1.665,-1.54,269.844,0.397
75.8,668.135,64.414,-707.88,2.013,0.89,270.302,0.397
76.0,667.424,64.887,-697.005,2.185,-0.622,270.205,0.382
76.2,666.713,64.733,-689.063,1.965,-0.248,269.648,0.392
76.4,666.002,65.422,-725.217,1.557,-0.792,269.817,0.414
76.6,665.29,64.407,-700.38,1.872,-0.209,270.29,0.388
76.8,664.579,64.499,-715.93,2.181,0.975,269.8,0.378
77.0,663.868,65.346,-664.265,2.162,1.265,270.053,0.396
77.2,663.157,66.074,-738.22,2.041,0.323,269.732,0.411
77.4,662.446,65.23,-708.489,2.284,0.162,270.337,0.406
77.6,661.734,65.182,-684.782,1.728,-0.521,270.641,0.398
77.8,661.023,64.792,-709.745,1.735,-0.28,269.417,0.399
78.0,660.312,65.653,-710.956,2.468,0.234,269.716,0.394
78.2,659.601,65.324,-716.156,2.121,-0.156,270.236,0.401
78.4,658.89,66.04,-694.52,1.944,-0.988,270.113,0.399
78.6,658.178,65.198,-731.976,1.886,0.063,270.006,0.396
78.8,657.467,64.431,-704.486,1.462,-1.045,269.639,0.379
79.0,656.756,64.658,-704.965,2.155,2.071,269.501,0.391
79.2,656.045,64.408,-739.496,1.565,0.307,269.907,0.389
79.4,655.334,64.25,-695.382,1.585,-0.566,270.321,0.386
79.6,654.622,65.758,-714.097,1.974,0.466,270.326,0.397
79.8,653.911,65.484,-694.401,2.29,-0.747,270.743,0.397
80.0,653.2,64.257,-680.366,1.904,-0.253,269.513,0.389
80.2,652.489,66.069,-693.435,2.06,1.551,270.095,0.402
80.4,651.778,65.147,-732.065,1.896,1.289,270.116,0.393
80.6,651.066,64.426,-693.902,2.065,-1.184,270.613,0.389
80.8,650.355,65.232,-742.59,1.646,-1.117,269.833,0.402
81.0,649.644,64.958,-721.408,2.412,-0.513,270.452,0.401
81.2,648.933,64.536,-659.608,1.788,2.254,269.565,0.417
81.4,648.222,63.834,-701.775,2.098,0.063,270.361,0.403
81.6,647.51,65.022,-662.376,1.568,0.259,269.758,0.398
81.8,646.799,65.175,-706.418,2.346,-0.509,269.723,0.396
82.0,646.088,63.453,-701.551,2.073,1.328,270.142,0.388
82.2,645.377,65.333,-730.041,2.393,0.965,269.893,0.378
82.4,644.666,65.371,-677.837,1.851,-1.729,270.106,0.391
82.6,643.954,64.718,-706.724,2.197,-0.847,269.988,0.388
82.8,643.243,65.067,-685.795,1.95,-1.832,269.78,0.395
